paragraph,label
聯發科技近年持續投入在先進研發及新領域從未歇息，繼於 2020 年研發投資金額達新台幣 773 億元，2021 年投入增至新台幣 960 億元，其中包含招募上千位優秀人才及投入先進製程技術所需，並持續投入 5G、無線通訊及 AI等領域之技術研發，帶領產業聚落走向全球，推動數位變革,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
"自 2002 年起，聯發科技每年都會舉辦「研發金獎」及「特殊貢獻獎」的提名、評選及頒獎 (Innovation Award and Special Contribution Award, ISCA)。ISCA 為公司技術創新之最高殊榮，更是鼓勵及肯定同仁在公司的付出","[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
特殊貢獻獎分成 2 個獎項，分別為專案 / 產品及營運相關類，而研發金獎則強調對於關鍵少數的表揚，經過嚴格的評選過程，誕生優選的團隊與同仁,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
國際固態電路研討會是世界上規模最大、最具權威且水準最高的固態電路國際會議，每年皆有數千名學術、產業界人士參加。2022 年聯發科技集團共 2 篇論文被 ISSCC 收錄並發表，其中一篇屬於處理器技術相關，另一則為音頻解碼器相關。自 2004 年起，聯發科技已連續 19 年每年都有論文入選，總共累計 85 篇，其技術和創新力持續獲得全球最權威的專業認可,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技為唯一連續 19 年皆有論文入選國際固態電路研討會之臺灣公司國際固態電路研討會扮演全球先進半導體與固態電路領域研發趨勢的領先指標，為國際半導體與晶片系統之產學研專家在頂尖技術交流之最佳論壇，在產學界中具舉足輕重地位，有 IC 設計領域奧林匹克大會的稱為鼓勵同仁及研發團隊持續創新及突破技術的貢獻，我們透過內外部活動、論壇參與，鼓勵聯發人持續投入於各號,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
項創新發明，深化創新對聯發人的意義、強化聯發人對創新的實踐,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
Mbps，速度整整為目前兩倍，其優異表現對 5G  毫米波的啟用深具里程碑的意義。這項上行載波聚合測試項目為業界首創，將為電信商的上行鏈路應用提供更好的速度和容量，使用 AR/VR  時流暢進行，使用行動裝置視訊時不定格、不斷訊,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技推出的 M80 5G 晶片組，同時支援毫米波和 Sub-6 GHz 雙 5G 頻段，為使用者帶來高速連網的 5G 暢快體驗。由於技術上的優異表現，目前聯發科技的 5G 技術已經得到全球 100 多個電信公司的驗證，將持續與全球合作夥伴緊密合作，為消費者帶來更快速、更可靠的 5G 體驗，以領先的實力樹立業界里程碑,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
聯發科技對國內學術活動之參與不遺餘力，聯發科技集團除在 2021 年在 ISSCC 共有 4 篇論文被收錄並發表，並與臺灣大學、陽明交通大學及 IEEE SSCS 台北分會等單位共同舉辦 2021 ISSCC 論文發表會。此發表會共邀請 11位產學領域專家介紹 2021 ISSCC 此研討會中各領域的研究方向與成果，聯發科技共有 3 位同仁在會中分享領域發展趨勢,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
在技術不斷變革、演進之下，除了與商業夥伴合作創造新的技術結合與應用外，聯發科技參與全球各技術協會，期望透過與同業、研究機構之間的交流，激發出更多技術創新的火花,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
[ 註 ] 聯發科技現任全球半導體聯盟 (GSA) 理事、台北市電腦商業同業公會 (TCA) 常務理事、臺灣半導體產業協會(TSIA) 常務理事、社團法人臺灣半導體產學研發聯盟 (TIARA) 常務理事,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
創新是聯發科技自成立以來日常營運管理的基石，為妥善保護珍貴的研發成果，持續強化本公司在全球市場的競爭力，於重要領域上達到技術領先，本公司制定與營運目標結合的智慧財產管理計畫，並以「全球布局、在地實踐」的方式，為世界各地的客戶提供最優質的產品及服務，以永續發展的態度持續追求所在產業的領導地位,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
"聯發科技在全球擁有超過 20  處研發據點，在專利布局上遍及臺灣、中國大陸、美國、歐洲、印度、日本、韓國、巴西、南非等地區，總申請專利數量超過上萬件。截至 2021 年底，本公司於全球專利總數逾 12,000  件，其中 2021 年取得逾 1,500  件國內外專利，在臺灣 IC 設計產業排名第一。第四度榮獲科睿唯安 ( 原湯森路透 ) 「全球百大創新機構」以及通過 2021 年臺灣智慧財產管理制度 (TIPS) 驗證等卓越績效。同時本公司在 5G  通訊、Wi-Fi 與 HEVC/VVC 視訊編碼領域之全球專利數量皆為臺灣業界第一","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技的使命是提升及豐富大眾生活，雖然通訊技術不斷加速發展，但是全球還是有數十億的人口，尚未感受到科技創新所帶來的好處。因此，我們透過實踐 3A 策略讓世界每個角落的人們都能用得著（Accessibility）、付得起（Affordability）、買得到（Availability），協助大眾掌握科技創新的力量，期待全人類都能夠受惠於科技普及所帶來的機會，實現更好的生活。2021 年，聯發科技再度整合了我們的創新科技技術於 5G 旗艦行動平台 - 天璣 9000，這將帶給使用者最佳的行動通訊及多媒體使用經驗；另外，Pentonic 智慧電視平台則整合了顯示、音訊、人工智慧、廣電標準和高速連網等創新技術打造，將帶給使用者全新的客廳娛樂體驗,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
聯發科技發表天璣 9000  旗艦 5G  行動平台，集先進的晶片設計與能效管理技術於一身，擁有卓越的性能和能效表現。聯發科技天璣持續以創新的計算、遊戲、影像、多媒體、通訊科技推動行動平台技術革新，賦能行動裝置廠商為消費者打造差異化的旗艦 5G  智慧手機,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
天璣 9000 率先採用台積電 4 奈米先進製程，CPU 採用符合未來十年需求的新一代 Armv9 架構，包含 1 個主頻高達 3.05GHz 的 Arm Cortex-X2 超大核、3  個主頻高達 2.85GHz 的 Arm Cortex-A710 大核和 4 個主頻為 1.8GHz 的Arm Cortex-A510 能效核心，內含 14MB 超大容量快取記憶體組合，為智慧手機提供優異運算表現,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
天璣 9000 搭載 Arm Mali-G710 旗艦十核 GPU，支援 LPDDR5x 記憶體，傳輸速率可達 7500Mbps，支援雙通道UFS3.1 快閃記憶體，同時提升平台性能與能效，加速全場景應用,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
precision）優勢，靈活運用整數精度與浮點精度運算，較上一代的性能和能效均提升 4 倍，為智慧手機的拍照、影像、串流媒體、遊戲等應用場景中提供高能效 AI 算力,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
天璣 9000 搭載旗艦級 18 位元 HDR-ISP 圖像信號處理器 Imagiq 790，3 顆圖像處理器（ISP）處理速度高達每秒90 億畫素，最高可支援 3.2 億畫素鏡頭，將計算攝影（computational photography）提升至全新高度,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
天璣 9000 在業界率先支援三個鏡頭同時處理 18-bit HDR 影像，且三個鏡頭均支援三重曝光，同時取景不同角度，滿足手機影像創作者對專業的創造力和生產力需求,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
天璣 9000 內建聯發科技全新的 AI Video 影像引擎，通過創新的路徑架構，降低影片拍攝佔用的頻寬，加快預覽速度。使用高速快門和低光源拍攝時，結合 AI-NR 2.0 智慧雜訊抑制技術，還可實現清晰、高動態範圍和出色的雜訊抑制效果,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
在新一代旗艦 Mali-G710 十核 GPU 的加持下，天璣 9000 擁有強悍的遊戲性能，為智慧手機帶來次世代圖形處理速度。結合全新升級的聯發科技 HyperEngine 5.0 遊戲引擎，在智慧調控引擎、網路引擎、畫質引擎、操控引擎四大核心特性上，再次帶來手機遊戲體驗的全面進化,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
HyperEngine 5.0 的智慧調控引擎可透過場景、內容、系統多維度降低遊戲運轉功耗：AI-VRS 可變繪圖技術可自動偵測畫面場景特徵，動態調整局部繪圖，優化功耗；根據遊戲內容進行 CPU 執行緒優化，充分發揮多核能效優勢，提升 CPU 多工效率；支援智慧動態穩幀技術，通過溫度預測決策系統調配，讓遊戲刷新率穩定，玩起來更流暢,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
聯發科技持續致力於圖形領域的技術研發，HyperEngine 5.0 帶來聯發科技行動光線追蹤雙引擎，充分發揮 GPU繪圖能力的同時，結合異構硬體加速器，實現畫面雜訊抑制的圖像後處理，以更低的功耗帶來媲美真實的行動遊戲畫質,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
天璣 9000 支持 Wi-Fi 6E 2x2 MIMO，藍牙 5.3 和藍牙 LE Audio 等新一代無線網路連接，在 MediaTek FastPath ™快速通道、智慧天線 2.0、Wi-Fi 藍牙雙連抗干擾、5G 高速通道等多項 HyperEngine 5.0 網路優化技術的加持下，高速、穩定、低延遲的遊戲網路體驗一應俱全,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
此外，天璣 9000 支援 180Hz FHD+ 刷新率的同時，還支援可變刷新率技術，螢幕顯示同步大幅度改善延遲，觸控反應更靈敏,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
天璣 9000 在 5G 通訊方面持續領先業界，整合聯發科技 M80 5G modem，符合 3GPP R16 標準，支援 Sub-6GHz 5G 全頻段網路。天璣 9000 支持 3CC 多載波聚合，300MHz 下行速率理論最大值達 7Gbps，且率先支持 R16 超級上行，包括補充上行和上行載波聚合兩種技術方案，5G 速率更快,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
在天璣 9000 上，聯發科技 5G UltraSave 2.0 省電技術和雙卡技術也再升級，不僅大幅降低 5G 通訊功耗，還率先帶來支援雙 5G 和 4G 多種組合的雙卡雙通技術，玩線上遊戲電話不漏接,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
天 璣 9000 率 先 支 援 8K30 AV1 HDR 影 像 格 式， 資 料 鏈 結（data link） 全 線 10bit 和 P3 廣 色 域 色 彩， 以 及HDR10+ ADAPTIVE、HDR Vivid 等 HDR 標準，資料鏈結（data link）全線 HDR10+ 讓畫質更出色,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
MiraVision 790 行動顯示技術，智慧調整螢幕顯示和影音串流，通過軟硬體優化帶來更出色的視覺效果,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
全球首顆 7 奈米 8K 解析度智慧電視 SoC – Pentonic 2000聯發科技 Pentonic 智慧電視平台以聯發科技顯示、音訊、人工智慧、廣電標準和高速連網等創新技術打造，Pentonic 2000 智慧電視晶片具備消費者期待的所有旗艦功能，包括最新的顯示和音訊技術、高顯示更新率、強大的 AI 功能、子母畫面等，將進一步推動智慧電視市場創新。聯發科技致力於開發領先的多媒體技術，目前累計超過 20 億台電視產品在全球各地上市,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
Pentonic 2000 是全世界首款採用台積電 7 奈米製程的智慧電視晶片，提供出色的性能與功耗表現,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
2000 支援 8K 120Hz 高畫質顯示，也可支援顯示更新率高達 144Hz 的 PC 遊戲和次世代遊戲主機，更率先整合 8K 120Hz MEMC（動態補償）引擎，是一顆全方位晶片。Pentonic 2000 內建的高性能聯發科技 APU（AI  處理器）支援聯發科技新的 8K AI-SR 超高解析度技術，可智慧提升低解析度影像到顯示器的原生解析度，同時還能在播放時即時增強影像畫質,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
藉由聯發科技 Intelligent View 技術，Pentonic 2000 支援在同一個大尺寸 8K 螢幕上以子母畫面（PiP）或分割畫面（PbP）同時顯示多個訊號源的功能。使用者可以打開多個應用程式，同時串流播放不同的影片,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技 Intelligent View 還支援多畫面無縫顯示，每個畫面都以最優畫質呈現，連調整畫面尺寸或布局的時候都不例外,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
記憶體。電視廠商還可借助聯發科技 Wi-Fi 6E 或 5G 數據機，為 8K 超高畫質影像串流播放提供高速無線網路連接，也可支援同時播放多個串流媒體影像,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
Pentonic 2000 支援 AVS3 影音解碼，同時也是第一款支援 VVC H.266 影音解碼格式的 8K 電視晶片，可提高壓縮效率，是現今影音串流時代不可或缺的關鍵功能。Pentonic 2000 支援最新的杜比成像及音效技術，以杜比視界及杜比全景聲提供劇院級的視聽饗宴。這款智慧電視晶片支援 AV1 影音格式的影片，以及全球電視廣播標準，包括最新的 ATSC 3.0,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技的核心產品技術為晶片設計，而晶片的應用廣泛且多元，因此公司致力在晶片設計階段將環境納入考量，針對產品使用及廢棄階段，藉由省電及產品體積微小化設計因應氣候變遷的衝擊。期望持續提升晶片環境化設計能力，降低產品應用對環境的產品影響,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
"產品耗能精進：針對行動裝置與 TV 等主要產品，2021 年對比 2020 年降低 23% 的能耗比率。統計 2021 年主要產品晶片出貨量，及晶片能耗降低比例，貢獻在終端產品使用上，一年可以降低電力使用達 6.67 億度，約減少334,834 噸二氧化碳排放，相當於 867 座大安森林公園碳吸附量 *，可供應約 17 萬戶家庭的一年的用電量註","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
"晶片微小化設計：主要產品於 2021 年對比 2020 年達成 23% 體積減少，換算可減少 81,070 kg 的廢棄物，相當於減碳 167 噸註 1。同時，公司致力確保供應商無使用有害物質，從產品生命週期源頭導入對環境友善之綠色設計，並要求供應商註 2 共同實踐綠色創新","[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
[ 註 1] 廢棄物換算減碳重量，係參考環保署之參數 - 每天少產出一公斤垃圾，減碳 2.06 公斤,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
聯發科技堅信「透過核心價值所凝聚出來的人才」是成功關鍵。透過實踐核心價值，不斷在產品、技術、流程、服務等層面致力於創新與突破，以客戶為導向，希望激發出所有人的勇氣與創意潛能，建立誠信合作的團隊精神,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
無論是人才布局及培育策略、員工體驗皆圍繞核心價值建立，不只吸引認同聯發科技價值的人才加入，也讓員工能在工作中持續感受與實踐,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技為 513.8 萬元，屬全國前三,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
聯發科技重視研發創新及國際化營運，視全球人才布局為技術研發的驅動力。截至 2021 年年底，聯發科技員工總聯發科技人力結構持續保持穩健並不斷注入優質人才，以創新、成長與跨界整合為發展目標,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
"人數（包含派遣人員）為 18,031  人。為有效運籌全球研發能量，聯發科技全球設置 27 個辦公據點，海外員工數占總人數約 35.7%。期待透過全球人才交流合作，加速產品開發時程與技術支援即時性","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
[ 註 ] 海外員工定義為非位於臺灣地區的員工，與國籍無關,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
近 90% 員工為研發及技術人員,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
員工以 31-40 歲者為主，30 歲以下員工數約為總人數的 34.6%，而大於 40 歲者為 25.6%,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
公司恪守全球各營運據點所在地法規，所有員工皆依法簽定合意書面勞動契約，公司亦於工作規則中明訂不強迫勞動之規範，並依據勞動法規規定工作時數。在臺灣地區若遇特殊狀況須與員工終止勞動契約，則依照勞動基準法進行資遣預告及後續相關資遣費支付,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
雇用約 99.5% 的全職員工，並依法足額進用與保障身障者就業權益。2021 年共聘 77 名身障員工，提供公平就業2021 年女性同仁比例 20%，研發 / 技術部門女性比例 18% ( 高於臺灣電子、電機、資工科系女性畢業生平均佔比 機會,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
灣電子、電機、資工科系女性畢業生平均佔比 (13~15%)。本公司新進人員薪資核敘依據所應徵職位所需能力、學歷、相關工作經歷及薪資市場概況等客觀因素並參酌現有內部擔任相同職位同仁之薪資予以核敘，所有職務的起薪均優於勞動基準法所規定之基本工資，並確保員工的薪資不因性別、種族、年齡、宗教、性別傾向或婚姻狀況而有所差異,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
基於科技產業特性與就業市場等因素，聯發科技員工較多為男性。公司亦持續招募女性優秀管理及研發人才,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]"
人才是聯發科技的重要資產，透過多元創新的招募管道，並提供兼具競爭力、與內部公平性的薪酬，及多樣化的福利措施，吸引優秀人才加入專業團隊，凝聚員工向心力，使人才成為永續發展的動能來源,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
[ 註 ] 上述資料對象含正職、約聘及派遣人員，唯員工學歷分布僅以正職人員為主,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
[ 註 ] 資料範圍為聯發科技及所屬子公司，不包含獨立營運子公司 ( 達發、立錡 ),"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
公司設置權責組織及單位，針對公司所需之人才類別提供多元創新的招募管道，持續掌握同業薪酬水準，制訂具產業競爭力的整體薪酬策略並符合法定的退休福利；提供多樣化的福利措施，訂定各式補助計畫與年度健康檢查福利等，建構健全職場永續發展,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
屬上市櫃半導體同業領先族群,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
"2021 年臺灣總部與外站共舉辦 37 場健康促進活動，參與人次達 5,486 人","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
產業持續創新的動力。聯發科技積極透過多元招募與對外溝通管道，吸引全球產、學、研界關鍵人才，並且培養人才與時俱進，建立職能發展機制，積極留才,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
"2021 年，公司在全球共延攬 3,302 位新進正職同仁，其中約 68% 為 30 歲以下族群，維持相對年輕的人力結構，為產品多元化及創新持續挹注能量","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
同時設有新人關懷系統，於新人到職 90 天內定期發送關懷問卷，員工可及時回饋適應狀況，於必要時由專職心理為協助新到職員工迅速適應工作與生活環境，公司訂定機制，由資深同仁擔任新進員工 buddy，適時提供協助；師主動關懷。以臺灣總部為例，2021 年新人回饋問卷填答率為 99.9%,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
"聯發科技提供具競爭力的薪酬福利、多元學習環境及具成就感的工作內容，吸引全球優秀人才。2021 年全球計畫招聘 3,302 人，共收到 56,717 份履歷，為預計招聘人數的 17 倍，聘用到任率約 87%，展現具吸引力的雇主品牌","[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
除完善的新人關懷與培訓系統，聯發科技透過創新文化與技術領先優勢，讓員工從日常工作中獲得成就感，持續吸引優秀人才。根據 2021 年的統計，三年內的新進人員留任率約 88%，兩年內的新進人員留任率達 98%,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技拓展人才延攬手法，依每年經營策略方向擬定人力計畫，開發官方網站人才管理系統，提供求職者友善且人性化的介面，增加應徵效率與便利性。此外亦透過人力銀行、參與大型徵才活動並推廣內部同仁推薦等管道募集人才；同時，我們積極與重點學校合作，產學合作至今投入金額累積逾新台幣 12 億元。2021 年製作多支徵才影片，邀請同仁介紹 IC 設計職務內容，以及實習計畫等，共獲得百萬觸及率,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
關課程，不但讓本科系學生深化 IC 設計必備能力，也讓非本科系學生有機會培養第二專長,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
比 / 射頻 IC 設計」兩大主軸，分別規劃大學七門課及研究所四門課，除了各校既有師資，教授所有 IC 設計必備的基礎知識，同時再搭配由聯發科技專家至課堂分享業界實務經驗，充份體現產學合一的精神。目前合作學校包括台大、陽明交大、清大、成大、中興、台科大等，已有近千位學生報名參與,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
享，並請產品經理與實習生分享從晶片設計、製作到定價、通路售出的流程，讓實習生更清楚晶片設計與產品的關聯,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
2021 年共有 120 位實習生獲得正職預聘，隔年畢業後可直接加入聯發科技,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
